goos: linux
goarch: amd64
pkg: github.com/qatoolist/wowapi/perf/requestbench
cpu: VirtualApple @ 2.50GHz
BenchmarkRealPostgresRequests/authenticated-write/cold/tenants-1-16        	       1	   3504785 ns/op	    240169 authz_query-ns/request	       314.0 bytes/request	    144585 handler_query-ns/request	         0 lockwait-ns/request	     44999 middleware-ns/request	   3211448 p50-ns/request	   3211448 p95-ns/request	   3211448 p99-ns/request	       375.0 pool_wait-ns/request	       375.0 poolwait-ns/request	     10375 serialization-ns/request	        17.00 sql/request	   3156615 tx-ns/request	   2770945 tx_setup-ns/request	   87424 B/op	     731 allocs/op
BenchmarkRealPostgresRequests/authenticated-write/cold/tenants-10-16       	       1	   8063580 ns/op	    907284 authz_query-ns/request	       314.0 bytes/request	    369508 handler_query-ns/request	         0 lockwait-ns/request	     42258 middleware-ns/request	   7571284 p50-ns/request	   7792452 p95-ns/request	   7792452 p99-ns/request	       362.0 pool_wait-ns/request	       362.0 poolwait-ns/request	      5679 serialization-ns/request	        17.00 sql/request	   7286842 tx-ns/request	   6008925 tx_setup-ns/request	  737720 B/op	    5376 allocs/op
BenchmarkRealPostgresRequests/authenticated-write/cold/tenants-100-16      	       1	  30449843 ns/op	   1057368 authz_query-ns/request	       314.0 bytes/request	    419773 handler_query-ns/request	         0 lockwait-ns/request	         0 middleware-ns/request	  23959862 p50-ns/request	  28038652 p95-ns/request	  28385989 p99-ns/request	  13674112 pool_wait-ns/request	  13674112 poolwait-ns/request	      5774 serialization-ns/request	        17.00 sql/request	  22697257 tx-ns/request	  21219135 tx_setup-ns/request	 7981600 B/op	   50964 allocs/op
BenchmarkRealPostgresRequests/authenticated-write/warm/tenants-1-16        	       1	   4664588 ns/op	     80917 authz_query-ns/request	       314.0 bytes/request	     75959 handler_query-ns/request	         0 lockwait-ns/request	     43666 middleware-ns/request	   2040020 p50-ns/request	   2040020 p95-ns/request	   2040020 p99-ns/request	       334.0 pool_wait-ns/request	       334.0 poolwait-ns/request	     25792 serialization-ns/request	        16.00 sql/request	   1971103 tx-ns/request	   1813352 tx_setup-ns/request	  153376 B/op	    1092 allocs/op
BenchmarkRealPostgresRequests/authenticated-write/warm/tenants-10-16       	       1	  37664289 ns/op	    151759 authz_query-ns/request	       314.0 bytes/request	    489225 handler_query-ns/request	         0 lockwait-ns/request	     32900 middleware-ns/request	   6317105 p50-ns/request	   6505439 p95-ns/request	   6505439 p99-ns/request	       670.0 pool_wait-ns/request	       670.0 poolwait-ns/request	      9495 serialization-ns/request	        16.00 sql/request	   5701860 tx-ns/request	   5059958 tx_setup-ns/request	 1357768 B/op	    9061 allocs/op
BenchmarkRealPostgresRequests/authenticated-write/warm/tenants-100-16      	       1	 194896596 ns/op	    291580 authz_query-ns/request	       314.0 bytes/request	    413857 handler_query-ns/request	         0 lockwait-ns/request	         0 middleware-ns/request	  16128868 p50-ns/request	  21763924 p95-ns/request	  22816059 p99-ns/request	   8320550 pool_wait-ns/request	   8320550 poolwait-ns/request	      6908 serialization-ns/request	        16.00 sql/request	  15030555 tx-ns/request	  14324267 tx_setup-ns/request	17134656 B/op	   88373 allocs/op
BenchmarkRealPostgresRequests/resource-authz/cold/tenants-1-16             	       1	   1516182 ns/op	    730716 authz_query-ns/request	        58.00 bytes/request	    644340 handler_query-ns/request	         0 lockwait-ns/request	         0 middleware-ns/request	   1421347 p50-ns/request	   1421347 p95-ns/request	   1421347 p99-ns/request	       292.0 pool_wait-ns/request	       292.0 poolwait-ns/request	      5583 serialization-ns/request	        21.00 sql/request	   1380888 tx-ns/request	    562005 tx_setup-ns/request	  106880 B/op	     908 allocs/op
BenchmarkRealPostgresRequests/resource-authz/cold/tenants-10-16            	       1	   6088060 ns/op	   1714175 authz_query-ns/request	        58.00 bytes/request	   1452360 handler_query-ns/request	         0 lockwait-ns/request	         0 middleware-ns/request	   4055999 p50-ns/request	   4620462 p95-ns/request	   4620462 p99-ns/request	       358.0 pool_wait-ns/request	       358.0 poolwait-ns/request	      7079 serialization-ns/request	        21.00 sql/request	   3867709 tx-ns/request	   1959427 tx_setup-ns/request	  934400 B/op	    7501 allocs/op
BenchmarkRealPostgresRequests/resource-authz/cold/tenants-100-16           	       1	  51527885 ns/op	   4859949 authz_query-ns/request	        58.00 bytes/request	   3845469 handler_query-ns/request	         0 lockwait-ns/request	         0 middleware-ns/request	  29673419 p50-ns/request	  49432073 p95-ns/request	  50207872 p99-ns/request	  18205255 pool_wait-ns/request	  18205255 poolwait-ns/request	     10983 serialization-ns/request	        21.00 sql/request	  31828326 tx-ns/request	  26190668 tx_setup-ns/request	10806632 B/op	   72582 allocs/op
BenchmarkRealPostgresRequests/resource-authz/warm/tenants-1-16             	       1	   1592641 ns/op	    230461 authz_query-ns/request	        58.00 bytes/request	    234044 handler_query-ns/request	         0 lockwait-ns/request	         0 middleware-ns/request	    709548 p50-ns/request	    709548 p95-ns/request	    709548 p99-ns/request	       250.0 pool_wait-ns/request	       250.0 poolwait-ns/request	      3750 serialization-ns/request	        19.00 sql/request	    687632 tx-ns/request	    421129 tx_setup-ns/request	  171464 B/op	    1354 allocs/op
